Year,State,Population,Violent Crime Total,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime Total,Burglary,Larceny-Theft,Motor Vehicle Theft,Violent Crime Rate,Murder and Nonnegligent Manslaughter Rate,Rape Rate,Robbery Rate,Aggravated Assault Rate,Property Crime Rate,Burglary Rate,Larceny-Theft Rate,Motor Vechicle Theft Rate
"2011","Georgia","9,812,460","36,762","549","2,066","12,266","21,881","357,235","96,014","231,543","29,678","374.6","5.6","21.1","125.0","223.0","3,640.6","978.5","2,359.7","302.5"
"2012","Georgia","9,915,646","37,675","583","2,143","12,502","22,447","339,473","86,992","223,875","28,606","380.0","5.9","21.6","126.1","226.4","3,423.6","877.3","2,257.8","288.5"
"2013","Georgia","9,994,759","37,519","563","2,022","12,704","21,361","339,808","83,459","229,190","27,159","375.4","5.6","20.2","127.1","213.7","3,399.9","835.0","2,293.1","271.7"
"2014","Georgia","10,097,343","38,097","580","2,159","12,417","22,052","331,316","76,428","228,034","26,854","377.3","5.7","21.4","123.0","218.4","3,281.2","756.9","2,258.4","266.0"
"2001","Hawaii","1,227,024","3,117","32","409","1,142","1,534","62,830","11,162","44,925","6,743","254.0","2.6","33.3","93.1","125.0","5,120.5","909.7","3,661.3","549.5"
"2002","Hawaii","1,240,663","3,262","24","372","1,210","1,656","71,976","12,722","49,344","9,910","262.9","1.9","30.0","97.5","133.5","5,801.4","1,025.4","3,977.2","798.8"
"2003","Hawaii","1,248,755","3,400","22","367","1,168","1,843","65,867","11,409","44,807","9,651","272.3","1.8","29.4","93.5","147.6","5,274.6","913.6","3,588.1","772.8"
"2004","Hawaii","1,262,124","3,213","33","333","944","1,903","60,525","10,827","41,078","8,620","254.6","2.6","26.4","74.8","150.8","4,795.5","857.8","3,254.7","683.0"
"2005","Hawaii","1,273,278","3,253","24","343","1,001","1,885","61,115","9,792","42,188","9,135","256.0","1.9","26.9","78.6","148.0","4,800.0","769.0","3,313.0","717.0"
"2006","Hawaii","1,285,498","3,608","21","353","1,144","2,090","54,247","8,724","37,784","7,739","280.7","1.6","27.5","89.0","162.6","4,219.9","678.6","2,939.3","602.0"
"2007","Hawaii","1,283,388","3,544","24","377","1,122","2,021","52,866","9,089","37,494","6,283","276.1","1.9","29.4","87.4","157.5","4,119.3","708.2","2,921.5","489.6"
"2008","Hawaii","1,288,198","3,510","26","363","1,085","2,036","45,944","9,404","31,424","5,116","272.5","2.0","28.2","84.2","158.1","3,566.5","730.0","2,439.4","397.1"
"2009","Hawaii","1,295,178","3,550","23","385","1,030","2,112","47,516","9,244","33,415","4,857","274.1","1.8","29.7","79.5","163.1","3,668.7","713.7","2,580.0","375.0"
"2010","Hawaii","1,363,359","3,603","25","377","1,065","2,136","45,667","8,706","31,681","5,280","264.3","1.8","27.7","78.1","156.7","3,349.6","638.6","2,323.7","387.3"
"2011","Hawaii","1,378,129","3,465","20","353","994","2,098","43,874","8,165","31,240","4,469","251.4","1.5","25.6","72.1","152.2","3,183.6","592.5","2,266.8","324.3"
"2012","Hawaii","1,390,090","3,378","21","279","1,125","1,953","43,419","7,653","31,901","3,865","243.0","1.5","20.1","80.9","140.5","3,123.5","550.5","2,294.9","278.0"
"2013","Hawaii","1,408,987","3,585","32","366","934","2,111","45,266","7,777","32,928","4,561","254.4","2.3","26.0","66.3","149.8","3,212.7","552.0","2,337.0","323.7"
"2014","Hawaii","1,419,561","3,680","26","314","1,107","2,102","43,297","7,778","31,640","3,879","259.2","1.8","22.1","78.0","148.1","3,050.0","547.9","2,228.9","273.3"
"2001","Idaho","1,320,585","3,211","30","425","245","2,511","38,181","7,507","28,285","2,389","243.1","2.3","32.2","18.6","190.1","2,891.2","568.5","2,141.9","180.9"
"2002","Idaho","1,343,124","3,419","36","497","240","2,646","39,128","7,441","29,060","2,627","254.6","2.7","37.0","17.9","197.0","2,913.2","554.0","2,163.6","195.6"
"2003","Idaho","1,367,034","3,362","26","535","245","2,556","40,042","7,837","29,559","2,646","245.9","1.9","39.1","17.9","187.0","2,929.1","573.3","2,162.3","193.6"
"2004","Idaho","1,395,140","3,452","31","594","241","2,586","38,799","7,671","28,389","2,739","247.4","2.2","42.6","17.3","185.4","2,781.0","549.8","2,034.8","196.3"
"2005","Idaho","1,429,367","3,670","35","577","266","2,792","38,556","8,066","27,606","2,884","257.0","2.4","40.4","18.6","195.3","2,697.0","564.3","1,931.0","202.0"
"2006","Idaho","1,466,465","3,666","35","611","294","2,726","35,135","7,545","25,154","2,436","250.0","2.4","41.7","20.0","185.9","2,395.9","514.5","1,715.3","166.1"
"2007","Idaho","1,499,402","3,841","49","607","243","2,942","34,124","7,131","24,727","2,266","256.2","3.3","40.5","16.2","196.2","2,275.8","475.6","1,649.1","151.1"
"2008","Idaho","1,523,816","3,680","23","579","239","2,839","31,940","6,748","23,532","1,660","241.5","1.5","38.0","15.7","186.3","2,096.1","442.8","1,544.3","108.9"
"2009","Idaho","1,545,801","3,805","24","575","254","2,952","31,220","6,682","23,066","1,472","246.2","1.6","37.2","16.4","191.0","2,019.7","432.3","1,492.2","95.2"
"2010","Idaho","1,571,102","3,464","22","533","213","2,696","31,436","6,513","23,594","1,329","220.5","1.4","33.9","13.6","171.6","2,000.9","414.5","1,501.7","84.6"
"2011","Idaho","1,583,744","3,202","35","444","188","2,535","32,875","6,915","24,629","1,331","202.2","2.2","28.0","11.9","160.1","2,075.8","436.6","1,555.1","84.0"
"2012","Idaho","1,595,590","3,348","30","495","243","2,580","31,825","7,240","23,203","1,382","209.8","1.9","31.0","15.2","161.7","1,994.6","453.8","1,454.2","86.6"
"2013","Idaho","1,612,843","3,471","29","516","220","2,548","30,230","6,693","21,999","1,538","215.2","1.8","32.0","13.6","158.0","1,874.3","415.0","1,364.0","95.4"
"2014","Idaho","1,634,464","3,468","32","468","204","2,623","30,316","6,428","22,227","1,661","212.2","2.0","28.6","12.5","160.5","1,854.8","393.3","1,359.9","101.6"
"2001","Illinois","12,520,227","79,270","982","4,010","24,931","49,347","434,648","79,158","306,757","48,733","633.1","7.8","32.0","199.1","394.1","3,471.6","632.2","2,450.1","389.2"
"2002","Illinois","12,586,447","75,759","961","4,370","25,314","45,114","430,479","81,440","304,227","44,812","601.9","7.6","34.7","201.1","358.4","3,420.2","647.0","2,417.1","356.0"
"2003","Illinois","12,649,087","70,376","895","4,189","23,786","41,506","415,885","78,345","295,907","41,633","556.4","7.1","33.1","188.0","328.1","3,287.9","619.4","2,339.4","329.1"
"2004","Illinois","12,712,016","69,365","780","4,220","22,582","41,783","403,486","76,088","287,025","40,373","545.7","6.1","33.2","177.6","328.7","3,174.1","598.6","2,257.9","317.6"
"2005","Illinois","12,765,427","70,496","770","4,313","23,255","42,158","394,670","77,635","277,662","39,373","552.0","6.0","33.8","182.2","330.3","3,092.0","608.2","2,175.0","308.0"
"2006","Illinois","12,831,970","69,498","780","4,078","23,782","40,858","387,478","77,259","272,578","37,641","541.6","6.1","31.8","185.3","318.4","3,019.6","602.1","2,124.2","293.3"
"2007","Illinois","12,852,548","68,528","752","4,103","23,100","40,573","377,322","75,524","267,911","33,887","533.2","5.9","31.9","179.7","315.7","2,935.8","587.6","2,084.5","263.7"
"2008","Illinois","12,901,563","67,780","790","4,118","24,054","38,818","378,355","78,968","266,815","32,572","525.4","6.1","31.9","186.4","300.9","2,932.6","612.1","2,068.1","252.5"
"2009","Illinois","12,910,409","64,185","773","3,901","22,923","36,588","353,347","77,850","248,821","26,676","497.2","6.0","30.2","177.6","283.4","2,736.9","603.0","1,927.3","206.6"
"2010","Illinois","12,841,980","57,132","704","3,066","20,386","32,976","349,064","77,472","242,681","28,911","444.9","5.5","23.9","158.7","256.8","2,718.1","603.3","1,889.7","225.1"
"2011","Illinois","12,859,752","54,523","781","3,030","20,217","30,495","344,468","77,719","237,362","29,387","424.0","6.1","23.6","157.2","237.1","2,678.7","604.4","1,845.8","228.5"
"2012","Illinois","12,868,192","53,556","770","3,581","19,480","29,725","332,706","71,100","235,314","26,292","416.2","6.0","27.8","151.4","231.0","2,585.5","552.5","1,828.6","204.3"
"2013","Illinois","12,890,552","51,956","722","3,895","17,733","28,161","296,048","59,093","216,059","20,896","403.1","5.6","30.2","137.6","218.5","2,296.6","458.4","1,676.1","162.1"
"2014","Illinois","12,880,580","47,663","685","3,081","15,299","27,520","267,385","50,008","199,926","17,451","370.0","5.3","23.9","118.8","213.7","2,075.9","388.2","1,552.2","135.5"
"2001","Indiana","6,126,743","22,734","413","1,716","7,171","13,434","211,548","42,758","147,291","21,499","371.1","6.7","28.0","117.0","219.3","3,452.9","697.9","2,404.1","350.9"
"2002","Indiana","6,156,913","22,001","362","1,843","6,612","13,184","208,965","42,605","146,073","20,287","357.3","5.9","29.9","107.4","214.1","3,394.0","692.0","2,372.5","329.5"
"2003","Indiana","6,199,571","21,842","338","1,720","6,401","13,383","208,039","41,582","145,686","20,771","352.3","5.5","27.7","103.2","215.9","3,355.7","670.7","2,349.9","335.0"
"2004","Indiana","6,226,537","20,294","316","1,803","6,373","11,802","211,929","42,168","148,670","21,091","325.9","5.1","29.0","102.4","189.5","3,403.6","677.2","2,387.7","338.7"
"2005","Indiana","6,266,019","20,302","356","1,856","6,809","11,281","216,778","43,756","151,278","21,744","324.0","5.7","29.6","108.7","180.0","3,460.0","698.3","2,414.0","347.0"
"2006","Indiana","6,313,520","20,303","361","1,811","7,175","10,956","217,783","45,538","150,655","21,590","321.6","5.7","28.7","113.6","173.5","3,449.5","721.3","2,386.2","342.0"
"2007","Indiana","6,345,289","21,310","350","1,738","7,845","11,377","213,887","46,485","147,999","19,403","335.8","5.5","27.4","123.6","179.3","3,370.8","732.6","2,332.4","305.8"
"2008","Indiana","6,376,792","21,525","322","1,711","7,580","11,912","213,639","48,805","147,334","17,500","337.6","5.0","26.8","118.9","186.8","3,350.3","765.4","2,310.5","274.4"
"2009","Indiana","6,423,113","21,455","312","1,621","7,347","12,175","199,907","48,880","137,190","13,837","334.0","4.9","25.2","114.4","189.5","3,112.3","761.0","2,135.9","215.4"
"2010","Indiana","6,490,622","20,983","268","1,760","6,559","12,396","199,274","48,570","137,204","13,500","323.3","4.1","27.1","101.1","191.0","3,070.2","748.3","2,113.9","208.0"
"2011","Indiana","6,516,353","21,619","306","1,758","6,977","12,578","206,016","50,571","140,630","14,815","331.8","4.7","27.0","107.1","193.0","3,161.5","776.1","2,158.1","227.4"
"2012","Indiana","6,537,782","22,544","307","1,661","6,601","13,975","197,994","47,689","136,668","13,637","344.8","4.7","25.4","101.0","213.8","3,028.5","729.4","2,090.4","208.6"
"2013","Indiana","6,570,713","23,627","357","1,623","7,114","13,915","187,472","42,754","130,534","14,184","359.6","5.4","24.7","108.3","211.8","2,853.1","650.7","1,986.6","215.9"
"2014","Indiana","6,596,855","24,099","330","1,615","6,897","14,686","174,776","36,893","124,022","13,861","365.3","5.0","24.5","104.5","222.6","2,649.4","559.3","1,880.0","210.1"
"2001","Iowa","2,931,967","7,865","50","649","1,154","6,012","88,634","16,885","66,244","5,505","268.2","1.7","22.1","39.4","205.1","3,023.0","575.9","2,259.4","187.8"
"2002","Iowa","2,935,840","8,388","44","797","1,169","6,378","92,877","18,643","68,411","5,823","285.7","1.5","27.1","39.8","217.2","3,163.6","635.0","2,330.2","198.3"
"2003","Iowa","2,941,976","8,175","50","796","1,131","6,198","87,554","17,515","64,400","5,639","277.9","1.7","27.1","38.4","210.7","2,976.0","595.3","2,189.0","191.7"
"2004","Iowa","2,952,904","8,499","44","782","1,160","6,513","85,775","17,928","62,214","5,633","287.8","1.5","26.5","39.3","220.6","2,904.8","607.1","2,106.9","190.8"
"2005","Iowa","2,965,524","8,697","40","847","1,153","6,657","84,370","18,147","60,723","5,500","293.0","1.3","28.6","38.9","224.5","2,845.0","611.9","2,048.0","186.0"
"2006","Iowa","2,982,085","8,521","55","871","1,309","6,286","84,202","18,160","60,998","5,044","285.7","1.8","29.2","43.9","210.8","2,823.6","609.0","2,045.5","169.1"
"2007","Iowa","2,988,046","8,970","39","970","1,328","6,633","79,133","17,176","57,018","4,939","300.2","1.3","32.5","44.4","222.0","2,648.3","574.8","1,908.2","165.3"
"2008","Iowa","3,002,555","8,651","77","937","1,249","6,388","73,273","16,598","52,299","4,376","288.1","2.6","31.2","41.6","212.8","2,440.4","552.8","1,741.8","145.7"
"2009","Iowa","3,007,856","8,485","38","890","1,201","6,356","70,080","16,419","49,757","3,904","282.1","1.3","29.6","39.9","211.3","2,329.9","545.9","1,654.2","129.8"
"2010","Iowa","3,050,202","8,191","38","883","1,012","6,258","68,740","16,746","48,194","3,800","268.5","1.2","28.9","33.2","205.2","2,253.6","549.0","1,580.0","124.6"
"2011","Iowa","3,064,097","7,883","44","866","824","6,149","72,043","17,573","50,472","3,998","257.3","1.4","28.3","26.9","200.7","2,351.2","573.5","1,647.2","130.5"
"2012","Iowa","3,075,039","8,167","49","901","962","6,255","70,357","17,201","49,116","4,040","265.6","1.6","29.3","31.3","203.4","2,288.0","559.4","1,597.2","131.4"
"2013","Iowa","3,092,341","8,443","41","873","937","6,332","67,976","15,918","47,803","4,255","273.0","1.3","28.2","30.3","204.8","2,198.2","514.8","1,545.9","137.6"
"2014","Iowa","3,107,126","8,497","60","828","1,045","6,264","65,056","14,428","46,477","4,151","273.5","1.9","26.6","33.6","201.6","2,093.8","464.4","1,495.8","133.6"
"2001","Kansas","2,702,125","10,909","92","945","2,423","7,449","105,537","20,514","77,038","7,985","403.7","3.4","35.0","89.7","275.7","3,905.7","759.2","2,851.0","295.5"
"2002","Kansas","2,711,769","10,229","78","1,035","2,165","6,951","100,768","19,679","73,877","7,212","377.2","2.9","38.2","79.8","256.3","3,716.0","725.7","2,724.3","266.0"
"2003","Kansas","2,724,786","10,831","125","1,085","2,247","7,374","109,276","21,973","79,471","7,832","397.5","4.6","39.8","82.5","270.6","4,010.4","806.4","2,916.6","287.4"
"2004","Kansas","2,733,697","10,330","122","1,142","1,812","7,254","109,771","20,146","81,115","8,510","377.9","4.5","41.8","66.3","265.4","4,015.5","737.0","2,967.2","311.3"
"2005","Kansas","2,748,172","10,701","101","1,098","1,795","7,707","104,588","19,028","76,222","9,338","389.0","3.7","40.0","65.3","280.4","3,806.0","692.4","2,774.0","340.0"
"2006","Kansas","2,764,075","11,960","125","1,279","1,878","8,678","104,260","20,086","75,450","8,724","432.7","4.5","46.3","67.9","314.0","3,772.0","726.7","2,729.7","315.6"
"2007","Kansas","2,775,997","12,730","106","1,287","2,022","9,315","102,961","20,461","73,900","8,600","458.6","3.8","46.4","72.8","335.6","3,709.0","737.1","2,662.1","309.8"
"2008","Kansas","2,802,134","11,554","113","1,226","1,681","8,534","94,882","19,651","67,826","7,405","412.3","4.0","43.8","60.0","304.6","3,386.1","701.3","2,420.5","264.3"
"2009","Kansas","2,818,747","11,460","125","1,179","1,786","8,370","90,930","19,473","65,499","5,958","406.6","4.4","41.8","63.4","296.9","3,225.9","690.8","2,323.7","211.4"
"2010","Kansas","2,859,143","10,602","97","1,146","1,538","7,821","89,109","19,315","63,774","6,020","370.8","3.4","40.1","53.8","273.5","3,116.6","675.6","2,230.5","210.6"
"2011","Kansas","2,870,386","10,209","111","1,122","1,448","7,528","88,655","18,712","63,259","6,684","355.7","3.9","39.1","50.4","262.3","3,088.6","651.9","2,203.8","232.9"
"2012","Kansas","2,885,398","10,292","85","1,105","1,493","7,609","91,066","18,874","65,413","6,779","356.7","2.9","38.3","51.7","263.7","3,156.1","654.1","2,267.0","234.9"
"2013","Kansas","2,895,801","9,928","117","1,003","1,339","7,177","85,704","17,476","61,557","6,671","342.8","4.0","34.6","46.2","247.8","2,959.6","603.5","2,125.7","230.4"
"2014","Kansas","2,904,021","10,123","91","1,075","1,362","7,259","79,431","15,828","56,697","6,906","348.6","3.1","37.0","46.9","250.0","2,735.2","545.0","1,952.4","237.8"
"2001","Kentucky","4,068,816","10,510","181","1,051","3,269","6,009","107,356","26,964","71,448","8,944","258.3","4.4","25.8","80.3","147.7","2,638.5","662.7","1,756.0","219.8"
"2002","Kentucky","4,089,822","11,101","191","1,087","3,131","6,692","108,590","26,891","72,378","9,321","271.4","4.7","26.6","76.6","163.6","2,655.1","657.5","1,769.7","227.9"
"2003","Kentucky","4,118,189","10,232","181","1,124","3,224","5,703","103,370","26,034","69,083","8,253","248.5","4.4","27.3","78.3","138.5","2,510.1","632.2","1,677.5","200.4"
"2004","Kentucky","4,141,835","10,152","236","1,238","3,268","5,410","105,209","25,902","70,535","8,772","245.1","5.7","29.9","78.9","130.6","2,540.2","625.4","1,703.0","211.8"
"2005","Kentucky","4,172,608","11,134","190","1,421","3,690","5,833","105,608","26,458","70,354","8,796","267.0","4.6","34.1","88.4","139.8","2,531.0","634.1","1,686.0","211.0"
"2006","Kentucky","4,206,074","11,361","173","1,312","3,850","6,026","109,428","27,867","72,197","9,364","270.1","4.1","31.2","91.5","143.3","2,601.7","662.5","1,716.5","222.6"
"2007","Kentucky","4,241,474","12,329","206","1,365","4,068","6,690","107,987","27,820","71,489","8,678","290.7","4.9","32.2","95.9","157.7","2,546.0","655.9","1,685.5","204.6"
"2008","Kentucky","4,269,245","12,690","201","1,457","4,080","6,952","114,492","29,556","77,279","7,657","297.2","4.7","34.1","95.6","162.8","2,681.8","692.3","1,810.1","179.4"
"2009","Kentucky","4,314,113","11,000","184","1,531","3,642","5,643","108,914","29,880","72,938","6,096","255.0","4.3","35.5","84.4","130.8","2,524.6","692.6","1,690.7","141.3"
"2010","Kentucky","4,347,223","10,604","188","1,438","3,748","5,230","111,170","30,443","74,488","6,239","243.9","4.3","33.1","86.2","120.3","2,557.3","700.3","1,713.5","143.5"
"2011","Kentucky","4,366,814","10,465","151","1,499","3,705","5,110","119,037","32,750","79,586","6,701","239.6","3.5","34.3","84.8","117.0","2,725.9","750.0","1,822.5","153.5"
"2012","Kentucky","4,379,730","9,852","201","1,312","3,547","4,792","112,800","29,877","76,199","6,724","224.9","4.6","30.0","81.0","109.4","2,575.5","682.2","1,739.8","153.5"
"2013","Kentucky","4,399,583","9,280","172","951","3,247","4,215","104,448","26,331","72,048","6,069","210.9","3.9","21.6","73.8","95.8","2,374.0","598.5","1,637.6","137.9"
"2014","Kentucky","4,413,457","9,340","160","883","3,336","4,404","99,166","23,244","69,604","6,318","211.6","3.6","20.0","75.6","99.8","2,246.9","526.7","1,577.1","143.2"
"2001","Louisiana","4,470,368","30,678","501","1,403","7,864","20,910","207,693","46,451","139,555","21,687","686.3","11.2","31.4","175.9","467.7","4,646.0","1,039.1","3,121.8","485.1"
"2002","Louisiana","4,476,192","29,690","593","1,529","7,123","20,445","198,838","45,350","133,302","20,186","663.3","13.2","34.2","159.1","456.7","4,442.1","1,013.1","2,978.0","451.0"
"2003","Louisiana","4,493,665","28,622","584","1,601","7,008","19,429","193,698","44,572","129,471","19,655","636.9","13.0","35.6","156.0","432.4","4,310.5","991.9","2,881.2","437.4"
"2004","Louisiana","4,506,685","28,844","574","1,616","6,564","20,090","199,153","45,359","134,080","19,714","640.0","12.7","35.9","145.7","445.8","4,419.1","1,006.5","2,975.1","437.4"
"2005","Louisiana","4,507,331","26,889","450","1,421","5,337","19,681","166,611","39,382","112,840","14,389","597.0","10.0","31.5","118.4","436.6","3,696.0","873.7","2,504.0","319.0"
"2006","Louisiana","4,287,768","30,923","555","1,587","5,928","22,853","174,975","46,703","112,605","15,667","721.2","12.9","37.0","138.3","533.0","4,080.8","1,089.2","2,626.2","365.4"
"2007","Louisiana","4,293,204","31,789","625","1,427","6,316","23,421","180,516","46,932","118,291","15,293","740.4","14.6","33.2","147.1","545.5","4,204.7","1,093.2","2,755.3","356.2"
"2008","Louisiana","4,410,796","29,613","544","1,250","6,241","21,578","171,179","45,524","112,091","13,564","671.4","12.3","28.3","141.5","489.2","3,880.9","1,032.1","2,541.3","307.5"
"2009","Louisiana","4,492,076","28,878","529","1,351","6,150","20,848","172,619","46,928","114,102","11,589","642.9","11.8","30.1","136.9","464.1","3,842.7","1,044.7","2,540.1","258.0"
"2010","Louisiana","4,545,343","25,241","500","1,230","5,297","18,214","165,667","45,437","110,260","9,970","555.3","11.0","27.1","116.5","400.7","3,644.8","999.6","2,425.8","219.3"
"2011","Louisiana","4,574,766","25,373","506","1,262","5,235","18,370","168,529","46,242","113,174","9,113","554.6","11.1","27.6","114.4","401.6","3,683.9","1,010.8","2,473.9","199.2"
"2012","Louisiana","4,602,134","22,839","489","1,155","5,458","15,737","162,673","42,037","112,764","7,872","496.3","10.6","25.1","118.6","342.0","3,534.7","913.4","2,450.3","171.1"
"2013","Louisiana","4,629,284","24,127","494","1,248","5,539","16,331","165,679","41,214","115,300","9,165","521.2","10.7","27.0","119.7","352.8","3,578.9","890.3","2,490.7","198.0"
"2014","Louisiana","4,649,676","23,934","477","992","5,695","16,387","160,824","38,337","112,596","9,891","514.7","10.3","21.3","122.5","352.4","3,458.8","824.5","2,421.6","212.7"
"2001","Maine","1,284,470","1,435","19","326","264","826","33,154","6,898","24,585","1,671","111.7","1.5","25.4","20.6","64.3","2,581.1","537.0","1,914.0","130.1"
"2002","Maine","1,294,894","1,396","14","377","270","735","32,985","6,965","24,591","1,429","107.8","1.1","29.1","20.9","56.8","2,547.3","537.9","1,899.1","110.4"
"2003","Maine","1,309,205","1,422","16","354","289","763","32,078","6,579","24,043","1,456","108.6","1.2","27.0","22.1","58.3","2,450.2","502.5","1,836.5","111.2"
"2004","Maine","1,314,985","1,364","18","315","289","742","31,740","6,341","24,096","1,303","103.7","1.4","24.0","22.0","56.4","2,413.7","482.2","1,832.4","99.1"
"2005","Maine","1,318,220","1,483","19","326","323","815","31,889","6,323","24,218","1,348","112.0","1.4","24.7","24.5","61.8","2,419.0","479.7","1,837.0","102.0"
"2006","Maine","1,321,574","1,533","23","341","383","786","33,658","6,846","25,465","1,347","116.0","1.7","25.8","29.0","59.5","2,546.8","518.0","1,926.9","101.9"
"2007","Maine","1,317,207","1,565","20","392","349","804","32,249","6,745","24,228","1,276","118.8","1.5","29.8","26.5","61.0","2,448.3","512.1","1,839.3","96.9"
"2008","Maine","1,316,456","1,572","31","379","333","829","32,433","6,559","24,695","1,179","119.4","2.4","28.8","25.3","63.0","2,463.7","498.2","1,875.9","89.6"
"2009","Maine","1,318,301","1,580","26","375","399","780","31,706","6,729","23,955","1,022","119.9","2.0","28.4","30.3","59.2","2,405.1","510.4","1,817.1","77.5"
"2010","Maine","1,327,379","1,621","24","389","412","796","32,900","7,364","24,547","989","122.1","1.8","29.3","31.0","60.0","2,478.6","554.8","1,849.3","74.5"
"2011","Maine","1,328,544","1,638","26","394","370","848","33,829","7,865","24,886","1,078","123.3","2.0","29.7","27.9","63.8","2,546.3","592.0","1,873.2","81.1"
"2012","Maine","1,328,501","1,626","26","372","420","808","33,398","7,476","24,931","991","122.4","2.0","28.0","31.6","60.8","2,514.0","562.7","1,876.6","74.6"
"2013","Maine","1,328,702","1,761","24","366","335","907","30,454","6,480","23,063","911","132.5","1.8","27.5","25.2","68.3","2,292.0","487.7","1,735.8","68.6"
"2014","Maine","1,330,089","1,700","21","360","304","890","26,421","5,030","20,592","799","127.8","1.6","27.1","22.9","66.9","1,986.4","378.2","1,548.2","60.1"
"2001","Maryland","5,386,079","42,088","446","1,449","13,525","26,668","219,512","41,553","145,934","32,025","781.4","8.3","26.9","251.1","495.1","4,075.5","771.5","2,709.5","594.6"
"2002","Maryland","5,450,525","42,015","513","1,370","13,417","26,715","217,105","39,765","143,320","34,020","770.8","9.4","25.1","246.2","490.1","3,983.2","729.6","2,629.5","624.2"
"2003","Maryland","5,512,310","38,778","525","1,358","13,302","23,593","209,418","38,641","134,372","36,405","703.5","9.5","24.6","241.3","428.0","3,799.1","701.0","2,437.7","660.4"
"2004","Maryland","5,561,332","38,961","521","1,317","12,772","24,351","202,474","36,704","129,888","35,882","700.6","9.4","23.7","229.7","437.9","3,640.7","660.0","2,335.6","645.2"
"2005","Maryland","5,589,599","39,369","552","1,266","14,378","23,173","198,483","35,922","128,491","34,070","704.0","9.9","22.6","257.2","414.6","3,551.0","642.7","2,299.0","610.0"
"2006","Maryland","5,615,727","38,111","546","1,178","14,376","22,011","195,484","37,459","127,502","30,523","678.6","9.7","21.0","256.0","392.0","3,481.0","667.0","2,270.4","543.5"
"2007","Maryland","5,618,344","36,063","554","1,179","13,258","21,072","192,796","37,095","127,308","28,393","641.9","9.9","21.0","236.0","375.1","3,431.5","660.2","2,265.9","505.4"
"2008","Maryland","5,633,597","35,393","493","1,127","13,203","20,570","198,165","38,849","133,983","25,333","628.2","8.8","20.0","234.4","365.1","3,517.6","689.6","2,378.3","449.7"
"2009","Maryland","5,699,478","33,625","440","1,156","12,007","20,022","182,295","36,905","125,771","19,619","590.0","7.7","20.3","210.7","351.3","3,198.5","647.5","2,206.7","344.2"
"2010","Maryland","5,785,681","31,607","426","1,228","11,054","18,899","173,309","36,704","118,578","18,027","546.3","7.4","21.2","191.1","326.7","2,995.5","634.4","2,049.5","311.6"
"2011","Maryland","5,839,572","28,817","399","1,200","10,342","16,876","166,846","35,823","114,951","16,072","493.5","6.8","20.5","177.1","289.0","2,857.2","613.5","1,968.5","275.2"
"2012","Maryland","5,884,868","28,086","373","1,237","10,173","16,303","162,309","33,803","113,550","14,956","477.3","6.3","21.0","172.9","277.0","2,758.1","574.4","1,929.5","254.1"
"2013","Maryland","5,938,737","28,235","384","1,179","10,048","16,124","157,918","31,950","112,551","13,417","475.4","6.5","19.9","169.2","271.5","2,659.1","538.0","1,895.2","225.9"
"2014","Maryland","5,976,407","26,661","365","1,144","9,544","15,133","149,859","28,012","108,745","13,102","446.1","6.1","19.1","159.7","253.2","2,507.5","468.7","1,819.6","219.2"
"2001","Massachusetts","6,401,164","30,585","143","1,856","6,476","22,110","167,079","32,430","106,821","27,828","477.8","2.2","29.0","101.2","345.4","2,610.1","506.6","1,668.8","434.7"
"2002","Massachusetts","6,421,800","31,137","173","1,777","7,169","22,018","167,753","33,243","107,922","26,588","484.9","2.7","27.7","111.6","342.9","2,612.2","517.7","1,680.6","414.0"
"2003","Massachusetts","6,420,357","30,377","140","1,848","8,011","20,378","164,543","34,963","104,069","25,511","473.1","2.2","28.8","124.8","317.4","2,562.8","544.6","1,620.9","397.3"
"2004","Massachusetts","6,407,382","29,489","171","1,794","7,484","20,040","158,150","34,497","101,605","22,048","460.2","2.7","28.0","116.8","312.8","2,468.2","538.4","1,585.7","344.1"
"2005","Massachusetts","6,433,367","29,644","178","1,751","7,837","19,878","151,727","34,728","98,079","18,920","461.0","2.8","27.2","121.8","309.0","2,358.0","539.8","1,524.0","294.0"
"2006","Massachusetts","6,437,193","32,217","188","1,771","8,080","22,178","153,943","35,243","100,725","17,975","500.5","2.9","27.5","125.5","344.5","2,391.5","547.5","1,564.7","279.2"
"2007","Massachusetts","6,449,755","28,487","187","1,643","7,021","19,636","154,743","35,767","103,925","15,051","441.7","2.9","25.5","108.9","304.4","2,399.2","554.5","1,611.3","233.4"
"2008","Massachusetts","6,497,967","30,137","166","1,751","7,077","21,143","155,919","36,251","106,913","12,755","463.8","2.6","26.9","108.9","325.4","2,399.5","557.9","1,645.3","196.3"
"2009","Massachusetts","6,593,587","30,503","173","1,734","7,467","21,129","153,178","34,515","106,799","11,864","462.6","2.6","26.3","113.2","320.4","2,323.1","523.5","1,619.7","179.9"
"2010","Massachusetts","6,555,466","30,737","214","1,784","6,897","21,842","154,496","37,903","105,124","11,469","468.9","3.3","27.2","105.2","333.2","2,356.8","578.2","1,603.6","175.0"
"2011","Massachusetts","6,607,003","28,232","184","1,654","6,768","19,626","148,829","36,403","101,644","10,782","427.3","2.8","25.0","102.4","297.0","2,252.6","551.0","1,538.4","163.2"
